Car_type,Kms_driven,No_of_owners,Car_name,Car_model,Model_Year,Car_price,Fuel_type,Insurance_type,Transmission,Engine,Max_power,Color,Seating_capacity,Mileage
Hatchback,64500,1,Maruti,Maruti Swift,2018,675000,Diesel,Comprehensive,Manual,1248,74.0,Red,5,25.2
Sedan,46809,2,Honda,Honda City,2017,793000,Petrol,Comprehensive,Manual,1497,117.3,White,5,17.8
SUV,20000,1,Tata,Tata Nexon EV,2020,1100000,Electric,Third Party insurance,Automatic,0,127.0,Others,5,17.8
SUV,20000,1,Hyundai,Hyundai Creta,2019,1425000,Diesel,Comprehensive,Automatic,1582,126.2,White,5,17.01
SUV,21725,1,Hyundai,Hyundai Venue,2020,1036000,Petrol,Third Party,Automatic,998,118.35,Red,5,18.15
Sedan,80000,1,Honda,Honda City,2016,800000,Petrol,Third Party insurance,Manual,1497,117.3,Others,5,17.8
Sedan,88000,2,Audi,Audi A6,2013,1400000,Petrol,Third Party insurance,Automatic,1984,177.01,Blue,5,13.53
Sedan,30360,2,Honda,Honda City,2019,1088000,Petrol,Third Party,Automatic,1497,117.6,Black,5,17.4
Hatchback,70000,2,Maruti,Maruti Baleno,2017,590000,Petrol,Third Party insurance,Automatic,1197,83.1,Others,5,21.4
Hatchback,16246,1,Hyundai,Hyundai Grand i10,2016,568000,Petrol,Comprehensive,Manual,1197,82.0,Red,5,18.9
Hatchback,55000,2,Maruti,Maruti Celerio,2017,400000,Petrol,Comprehensive,Automatic,998,67.04,White,5,23.1
MUV,13000,1,Toyota,Toyota Innova Crysta,2022,2790000,Petrol,Comprehensive,Automatic,2694,163.6,White,7,8.0
Hatchback,71638,2,Maruti,Maruti Celerio,2016,422000,Petrol,Third Party,Automatic,998,67.04,Red,5,23.1
Sedan,46105,1,Honda,Honda Amaze,2015,450000,Petrol,Comprehensive,Manual,1198,86.7,White,5,18.0
SUV,60000,1,Honda,Honda WR-V,2017,650000,Petrol,Third Party insurance,Manual,1199,88.7,Others,5,17.5
Hatchback,80000,1,Honda,Honda Jazz,2017,575000,Diesel,Third Party insurance,Manual,1498,98.6,Others,5,27.3
Hatchback,58000,1,Mercedes-Benz,Mercedes-Benz B Class,2015,1950000,Diesel,Comprehensive,Automatic,2143,107.3,Grey,5,15.0
Sedan,70000,2,Maruti,Maruti Esteem,2008,150000,Petrol,Third Party insurance,Manual,1298,83.8372,Silver,5,15.9
Hatchback,61764,1,Maruti,Maruti Baleno,2017,702000,Petrol,Third Party,Automatic,1197,83.1,Grey,5,21.4
SUV,36018,2,Mahindra,Mahindra KUV 100,2016,448000,Petrol,Third Party insurance,Manual,1198,82.0,Orange,6,18.15
SUV,150000,1,Renault,Renault Duster,2016,650000,Diesel,Third Party insurance,Automatic,1461,108.45,Others,5,19.6
Hatchback,17197,1,Hyundai,Hyundai Grand i10 Nios,2022,801000,Petrol,Third Party,Manual,998,98.63,Black,5,20.7
Sedan,62931,2,Honda,Honda City,2016,772000,Petrol,Comprehensive,Automatic,1497,117.3,Brown,5,18.0
Sedan,90000,2,Toyota,Toyota Corolla Altis,2013,500000,Petrol,Third Party insurance,Manual,1798,138.1,Others,5,14.53
SUV,21023,1,Mahindra,Mahindra XUV300,2021,1103000,Petrol,Third Party,Manual,1197,108.62,Red,5,16.82
Sedan,43000,1,Toyota,Toyota Corolla Altis,2018,1490000,Diesel,Comprehensive,Manual,1364,86.79,White,5,21.43
Sedan,110505,1,Maruti,Maruti Swift Dzire,2017,627000,Diesel,Third Party insurance,Automatic,1248,74.02,Silver,5,28.4
Sedan,78892,1,Hyundai,Hyundai Verna,2018,835000,Petrol,Third Party insurance,Manual,1591,121.3,Silver,5,17.0
Sedan,59000,1,Audi,Audi A6,2015,2089999,Diesel,Third Party insurance,Automatic,1968,187.74,White,5,18.53
Sedan,90058,1,Chevrolet,Chevrolet Sail,2014,350000,Petrol,Comprehensive,Manual,1199,82.4,White,5,18.2
SUV,69000,1,Audi,Audi Q5,2015,2100000,Diesel,Third Party insurance,Automatic,2967,241.4,White,5,13.22
SUV,67000,1,Honda,Honda WR-V,2019,925000,Diesel,Comprehensive,Manual,1498,98.6,Red,5,25.5
Sedan,80000,1,Maruti,Maruti Ciaz,2017,850000,Diesel,Third Party insurance,Manual,1248,88.5,Others,5,28.09
Sedan,80000,1,Maruti,Maruti Ciaz,2017,850000,Diesel,Third Party insurance,Manual,1248,88.5,Others,5,28.09
SUV,57000,1,Audi,Audi Q7,2020,6600000,Diesel,Comprehensive,Automatic,2967,245.0,White,7,14.75
MUV,800000,1,Toyota,Toyota Innova Crysta,2018,2150000,Diesel,Comprehensive,Manual,2393,147.8,Black,8,13.68
Sedan,5500000,1,Mercedes-Benz,Mercedes-Benz C-Class,2018,3600000,Diesel,Comprehensive,Automatic,2143,167.62,Blue,5,19.27
Sedan,27000,1,BMW,BMW 7 Series,2017,6800000,Diesel,Comprehensive,Automatic,2993,258.0,White,5,16.46
SUV,38334,1,Tata,Tata Nexon,2018,707000,Petrol,Comprehensive,Manual,1198,108.5,Silver,5,17.0
Hatchback,36992,1,Volkswagen,Volkswagen Polo,2019,680000,Petrol,Third Party insurance,Manual,999,75.1,Red,5,17.74
SUV,50000,2,BMW,BMW X3,2016,3750000,Diesel,Comprehensive,Automatic,2993,258.0,Red,5,16.55
SUV,34596,1,Tata,Tata New Safari,2021,2039000,Diesel,Comprehensive,Automatic,1956,167.67,Silver,6,14.08
Hatchback,84564,1,Datsun,Datsun GO,2019,401000,Petrol,Third Party,Manual,1198,67.05,White,5,19.02
Sedan,60001,2,Mercedes-Benz,Mercedes-Benz E-Class,2013,2150000,Diesel,Comprehensive,Automatic,2143,204.0,Silver,5,13.0
Hatchback,23462,1,Hyundai,Hyundai Santro,2018,505000,Petrol,Zero Dep,Manual,1086,68.0,White,5,20.3
SUV,13000,1,Volkswagen,Volkswagen Taigun,2022,1599000,Petrol,Third Party insurance,Automatic,999,113.98,Red,5,18.41
Sedan,54658,1,Honda,Honda Amaze,2019,830000,Diesel,Comprehensive,Automatic,1498,78.9,Red,5,23.8
SUV,34164,1,Mahindra,Mahindra XUV300,2020,1036000,Petrol,Third Party,Manual,1197,108.62,Green,5,16.82
SUV,10000,1,Kia,Kia Seltos,2022,1595000,Petrol,Third Party insurance,Manual,1497,113.43,Gray,5,16.8
Hatchback,70000,3,Fiat,Fiat Punto,2010,100000,Petrol,Third Party insurance,Manual,1368,88.7,Red,5,14.6
SUV,37000,1,Hyundai,Hyundai Venue,2020,825000,Petrol,Third Party insurance,Manual,1197,81.86,Blue,5,17.52
SUV,20000,1,Mahindra,Mahindra XUV700,2022,2900000,Diesel,Comprehensive,Automatic,2198,182.38,Silver,7,17.52
Hatchback,53967,1,Maruti,Maruti Baleno,2016,550000,Petrol,Comprehensive,Manual,1197,83.1,Blue,5,21.4
Hatchback,52700,1,Hyundai,Hyundai i10,2011,299000,Petrol,Comprehensive,Manual,1197,78.9,Red,5,20.36
SUV,60000,1,Tata,Tata Nexon,2018,750000,Petrol,Third Party insurance,Automatic,1198,108.5,Others,5,17.0
Hatchback,53967,1,Maruti,Maruti Baleno,2016,550000,Petrol,Comprehensive,Manual,1197,83.1,Blue,5,21.4
Sedan,99225,2,Honda,Honda Amaze,2014,375000,Petrol,Comprehensive,Manual,1199,88.76,TAFETA WHITE,5,18.6
Sedan,60000,2,Fiat,Fiat Linea,2011,265000,Petrol,Third Party insurance,Manual,1368,88.7688,Silver,5,16.0
Hatchback,48220,1,Honda,Honda Jazz,2020,808000,Petrol,Third Party,Automatic,1199,88.5,Red,5,17.1
Hatchback,72024,1,Honda,Honda Jazz,2016,542000,Petrol,Third Party insurance,Manual,1199,88.7,Red,5,18.7
Sedan,80000,1,Honda,Honda Amaze,2016,529000,Petrol,Third Party insurance,Automatic,1198,86.7,Others,5,15.5
Hatchback,78735,1,Volkswagen,Volkswagen Polo,2017,684000,Petrol,Third Party,Manual,1199,74.0,Black,5,16.2
SUV,72955,2,Ford,Ford Ecosport,2018,813000,Diesel,Zero Dep,Manual,1498,98.96,Red,5,23.0
Sedan,40000,1,Maruti,Maruti Ciaz,2015,650000,Petrol,Third Party insurance,Automatic,1373,91.1,Others,5,19.12
SUV,14037,1,Jeep,Jeep Compass,2021,1802000,Petrol,Comprehensive,Manual,1368,160.77,Grey,5,14.3
Hatchback,29000,1,Hyundai,Hyundai i20,2019,745000,Petrol,Comprehensive,Manual,1197,81.86,Silver,5,18.6
Hatchback,69864,1,Maruti,Maruti Baleno,2017,619000,Petrol,Third Party insurance,Manual,1197,83.1,Silver,5,21.4
Sedan,35739,1,Hyundai,Hyundai Xcent,2019,650000,Petrol,Third Party insurance,Manual,1197,81.86,Silver,5,20.14
Hatchback,120000,2,Honda,Honda Jazz,2016,500000,Petrol,Third Party insurance,Automatic,1199,88.7,Others,5,19.0
MUV,18000,1,Maruti,Maruti Ertiga,2019,1145000,Diesel,Comprehensive,Manual,1248,88.5,Silver,7,24.52
SUV,21000,1,Tata,Tata Harrier,2019,1600000,Diesel,Comprehensive,Manual,1956,167.67,Orange,5,16.35
Hatchback,70404,1,Maruti,Maruti Baleno,2016,540000,Petrol,Comprehensive,Manual,1197,83.1,Grey,5,21.4
Sedan,63000,1,Volkswagen,Volkswagen Vento,2015,675000,Petrol,Comprehensive,Manual,1598,103.2,Black,5,16.09
Sedan,88000,2,Volkswagen,Volkswagen Ameo,2017,509999,Petrol,Third Party insurance,Manual,1198,73.75,White,5,17.0
Sedan,65000,1,Honda,Honda City,2017,830000,Petrol,Comprehensive,Manual,1497,117.6,Silver,5,17.4
SUV,30000,2,Land Rover,Land Rover Discovery Sport,2017,3900000,Diesel,Third Party insurance,Automatic,2179,187.7,Red,7,12.51
Sedan,71423,1,Honda,Honda City,2012,509999,Petrol,Comprehensive,Automatic,1497,116.3,Golden,5,15.6
MUV,80000,1,Maruti,Maruti XL6,2019,1200000,Petrol,Third Party insurance,Automatic,1462,103.2,Others,6,17.99
Sedan,85759,1,Honda,Honda City,2017,766000,Petrol,Third Party,Manual,1497,117.3,Brown,5,17.8
Hatchback,24422,1,Hyundai,Hyundai Santro,2019,449000,Petrol,Zero Dep,Manual,1086,68.0,Silver,5,20.3
Sedan,90000,4,Hyundai,Hyundai Verna,2017,750000,Petrol,Third Party insurance,Manual,1591,121.3,White,5,17.0
Hatchback,67091,2,Honda,Honda Brio,2012,317000,Petrol,Third Party,Manual,1198,86.8,Red,5,19.4
SUV,72787,1,MG,MG Hector,2020,1560000,Petrol,Third Party,Manual,1451,141.0,Maroon,5,15.81
SUV,120000,2,Ford,Ford Endeavour,2017,1900000,Diesel,Third Party insurance,Manual,2198,157.7,Others,7,13.5
Hatchback,90142,1,Hyundai,Hyundai Grand i10,2017,522000,Petrol,Comprehensive,Manual,1197,81.86,Red,5,18.9
Hatchback,150000,1,Hyundai,Hyundai i20,2015,500000,Petrol,Third Party insurance,Manual,1197,81.83,Others,5,18.6
Hatchback,33256,1,Ford,Ford Freestyle,2018,627000,Petrol,Comprehensive,Manual,1194,94.68,Red,5,19.0
Hatchback,70027,1,Maruti,Maruti Baleno,2018,687000,Petrol,Comprehensive,Automatic,1197,83.1,Silver,5,21.4
Sedan,120000,3,Hyundai,Hyundai Sonata,2007,204999,Diesel,Third Party insurance,Manual,1991,140.05743999999999,White,5,13.6
Hatchback,60000,2,Volkswagen,Volkswagen Polo,2015,525000,Petrol,Third Party insurance,Manual,1199,74.0,Others,5,16.2
Hatchback,73686,1,Maruti,Maruti Swift,2017,620000,Diesel,Third Party insurance,Manual,1248,74.0,Grey,5,25.2
SUV,44000,2,Mahindra,Mahindra TUV 300,2018,825000,Diesel,Comprehensive,Manual,1493,100.0,Red,7,18.49
Hatchback,75581,1,Maruti,Maruti Swift,2015,530000,Petrol,Comprehensive,Manual,1197,81.8,White,5,21.21
SUV,58000,1,Mercedes-Benz,Mercedes-Benz M-Class,2015,3600000,Diesel,Comprehensive,Automatic,2143,203.2,Blue,5,15.26
Sedan,50000,2,Audi,Audi A3,2015,1950000,Diesel,Comprehensive,Automatic,1968,143.0,P Black,5,20.38
SUV,100000,1,Mahindra,Mahindra TUV 300,2015,650000,Diesel,Third Party insurance,Manual,1493,100.0,Others,7,18.49
Sedan,108902,1,Maruti,Maruti Ciaz,2017,650000,Diesel,Third Party insurance,Manual,1248,88.5,White,5,28.09
Sedan,100425,1,Volkswagen,Volkswagen Ameo,2016,570000,Diesel,Comprehensive,Manual,1498,108.62,Silver,5,21.66
Sedan,70887,2,Hyundai,Hyundai Xcent,2016,458000,Petrol,Third Party,Manual,1197,82.0,Silver,5,19.1
Sedan,114981,2,Honda,Honda City,2016,577000,Petrol,Comprehensive,Manual,1497,117.3,Silver,5,17.8
SUV,45000,1,Honda,Honda WR-V,2018,900000,Petrol,Comprehensive,Manual,1199,88.7,White,5,17.5
Hatchback,45416,1,Hyundai,Hyundai Grand i10 Nios,2021,649000,Petrol,Comprehensive,Manual,1197,81.86,White,5,20.7
Hatchback,119468,1,Hyundai,Hyundai i20,2016,549000,Petrol,Third Party insurance,Manual,1197,81.83,Silver,5,18.6
Sedan,100000,3,Volkswagen,Volkswagen Vento,2015,650000,Diesel,Third Party insurance,Automatic,1498,103.2,Others,5,21.21
Sedan,119975,1,Maruti,Maruti Swift Dzire,2017,513999,Petrol,Third Party,Manual,1197,88.5,Red,5,22.41
Sedan,19000,1,BMW,BMW 3 Series,2017,3900000,Petrol,Comprehensive,Automatic,1998,252.0,White,5,15.34
Hatchback,64906,2,Hyundai,Hyundai Grand i10,2016,455999,Petrol,Comprehensive,Manual,1197,82.0,Silver,5,18.9
Hatchback,81484,2,Maruti,Maruti Baleno,2016,501999,Petrol,Comprehensive,Manual,1197,83.1,Red,5,21.4
Sedan,45067,1,Maruti,Maruti Swift Dzire,2018,685000,Petrol,Comprehensive,Manual,1197,81.8,Blue,5,21.21
Sedan,68000,1,Mercedes-Benz,Mercedes-Benz S-Class,2018,11000000,Petrol,Third Party insurance,Automatic,4663,459.0,Blue,4,7.81
Hatchback,65768,1,Honda,Honda Jazz,2016,580000,Petrol,Comprehensive,Manual,1199,88.7,Brown,5,18.7
Hatchback,61000,2,Honda,Honda Jazz,2016,530000,Petrol,Comprehensive,Manual,1199,88.7,Golden brown,5,18.7
Sedan,50000,3,Mercedes-Benz,Mercedes-Benz S-Class,2009,1700000,Diesel,Comprehensive,Automatic,2987,207.1272,Silver,5,13.0
Sedan,23000,1,BMW,BMW 5 Series,2018,4375000,Diesel,Comprehensive,Automatic,1995,190.0,Blue,5,18.12
Sedan,17000,1,BMW,BMW 7 Series,2018,8200000,Diesel,Comprehensive,Automatic,2993,258.0,White,5,16.46
Hatchback,102958,1,Maruti,Maruti Celerio,2017,420000,Petrol,Comprehensive,Automatic,998,67.04,Grey,5,23.1
Sedan,62900,1,Toyota,Toyota Corolla Altis,2013,775000,Diesel,Comprehensive,Manual,1364,87.2,Silver,5,21.43
Hatchback,65076,2,Maruti,Maruti Wagon R,2015,395000,Petrol,Comprehensive,Manual,998,67.04,Silver,5,20.51
Hatchback,75876,1,Maruti,Maruti Baleno,2016,533000,Petrol,Comprehensive,Manual,1197,83.1,Blue,5,21.4
Hatchback,98911,1,Hyundai,Hyundai i20,2015,547000,Petrol,Third Party insurance,Manual,1197,81.83,Red,5,18.6
Hatchback,45000,1,Maruti,Maruti Celerio,2015,395000,Petrol,Comprehensive,Manual,998,67.04,Blue,5,23.1
Sedan,76089,1,Hyundai,Hyundai Verna,2017,908000,Diesel,Third Party,Automatic,1582,126.2,White,5,19.08
Hatchback,54505,2,Hyundai,Hyundai Grand i10,2017,521000,Petrol,Third Party,Manual,1197,81.86,Silver,5,18.9
Sedan,24000,1,Audi,Audi A3,2019,2290000,Diesel,Third Party insurance,Automatic,1968,143.0,White,5,20.38
Sedan,96573,1,Maruti,Maruti Swift Dzire,2016,507000,Petrol,Zero Dep,Manual,1197,88.5,Red,5,22.41
SUV,30000,1,Kia,Kia Seltos,2019,1625000,Diesel,Comprehensive,Automatic,1493,113.43,White,5,22.41
Hatchback,63720,2,Hyundai,Hyundai Grand i10,2016,528000,Petrol,Comprehensive,Manual,1197,82.0,Orange,5,18.9
Hatchback,14411,1,Maruti,Maruti Alto 800,2021,434999,Petrol,Comprehensive,Manual,796,47.33,Silver,5,22.05
SUV,11000,1,Volkswagen,Volkswagen Taigun,2022,1490000,Petrol,Comprehensive,Automatic,999,113.98,Red,5,18.41
SUV,21000,1,Skoda,Skoda Kushaq,2022,1789999,Petrol,Comprehensive,Automatic,1498,147.51,Silver,5,18.86
SUV,34392,1,Honda,Honda WR-V,2017,625000,Petrol,Comprehensive,Manual,1199,88.7,Silver,5,17.5
Hatchback,20000,1,Hyundai,Hyundai Grand i10 Nios,2022,690000,Petrol,Third Party insurance,Manual,1197,81.86,Others,5,20.7
SUV,10000,1,Kia,Kia Sonet,2022,1350000,Petrol,Third Party insurance,Manual,998,118.36,Black,5,18.2
SUV,20000,1,MG,MG Astor,2022,1550000,Petrol,Third Party insurance,Automatic,1498,108.49,Others,5,14.82
Hatchback,47000,1,Toyota,Toyota Glanza,2019,790000,Petrol,Comprehensive,Automatic,1197,81.8,Grey,5,19.56
Hatchback,60333,2,Maruti,Maruti Alto K10,2014,270000,Petrol,Comprehensive,Manual,998,67.05,Red,5,23.95
Hatchback,81058,1,Hyundai,Hyundai Grand i10,2014,365000,Diesel,Comprehensive,Manual,1186,73.97,Star Dust,5,24.0
Sedan,51800,2,Honda,Honda Civic,2010,425000,Petrol,Comprehensive,Manual,1799,130.0,Brown,5,13.5
Hatchback,32797,2,Hyundai,Hyundai Grand i10,2016,528000,Petrol,Comprehensive,Manual,1197,82.0,Orange,5,18.9
Hatchback,69731,1,Hyundai,Hyundai Grand i10,2016,511000,Petrol,Comprehensive,Manual,1197,82.0,Silver,5,18.9
Sedan,54000,2,Honda,Honda City,2016,625000,Petrol,Comprehensive,Manual,1497,117.3,Black,5,17.8
Hatchback,110267,2,Nissan,Nissan Micra Active,2016,327000,Petrol,Comprehensive,Manual,1198,67.04,Blue,5,19.49
SUV,31767,1,Mahindra,Mahindra KUV 100,2018,505000,Petrol,Third Party insurance,Manual,1198,82.0,Orange,6,18.15
SUV,45677,2,Honda,Honda WR-V,2018,640000,Petrol,Comprehensive,Manual,1199,88.7,METALL,5,17.5
Hatchback,66656,1,Maruti,Maruti Celerio,2017,449000,Petrol,Comprehensive,Manual,998,65.71,Silver,5,25.24
Sedan,27000,1,Honda,Honda Amaze,2019,725000,Diesel,Comprehensive,Manual,1498,98.63,Grey,5,24.7
Hatchback,37004,1,Renault,Renault KWID,2021,495000,Petrol,Comprehensive,Manual,999,67.0,Red,5,21.74
Hatchback,85274,2,Hyundai,Hyundai i10,2011,271000,Petrol,Comprehensive,Manual,1197,78.9,Silver,5,20.36
SUV,60000,2,Hyundai,Hyundai Creta,2017,940000,Diesel,Third Party insurance,Manual,1582,126.2,Others,5,19.67
Sedan,42000,1,Honda,Honda City,2017,799000,Petrol,Comprehensive,Manual,1497,117.6,White,5,17.4
SUV,20000,1,Hyundai,Hyundai Creta,2022,1850000,Diesel,Third Party insurance,Manual,1493,113.45,Others,5,17.4
MUV,30000,1,Kia,Kia Carens,2022,2000000,Diesel,Third Party insurance,Automatic,1493,114.41,Others,7,17.4
Sedan,25000,1,Mercedes-Benz,Mercedes-Benz E-Class,2017,4500000,Diesel,Comprehensive,Automatic,1950,191.7,Black,5,16.1
SUV,80000,3,Mahindra,Mahindra XUV500,2014,700000,Diesel,Third Party insurance,Manual,2179,140.0,Others,7,15.1
Sedan,60000,2,Hyundai,Hyundai Verna,2015,585000,Petrol,Third Party insurance,Manual,1591,121.3,Others,5,17.1
SUV,20000,1,Tata,Tata Harrier,2022,2050000,Diesel,Third Party insurance,Manual,1956,167.67,White,5,16.35
SUV,20000,1,MG,MG Hector,2022,1989999,Petrol,Third Party insurance,Automatic,1451,141.0,Others,5,16.35
SUV,20000,1,MG,MG Hector,2022,1989999,Petrol,Third Party insurance,Automatic,1451,141.0,Others,5,16.35
SUV,55037,2,Hyundai,Hyundai Creta,2020,1445000,Diesel,Third Party,Manual,1493,113.45,Blue,5,16.35
Hatchback,65607,1,Hyundai,Hyundai Santro,2018,451000,Petrol,Zero Dep,Manual,1086,68.0,Silver,5,20.3
MUV,70000,1,Maruti,Maruti Ertiga Tour,2021,1100000,CNG,Third Party insurance,Manual,1462,91.18,Others,7,20.3
Hatchback,74777,1,Hyundai,Hyundai i20,2016,631000,Petrol,Comprehensive,Manual,1197,81.83,Others,5,18.6
Sedan,102392,2,Toyota,Toyota Etios,2012,411000,Petrol,Comprehensive,Manual,1496,88.73,Silver,5,17.6
Sedan,90210,1,Skoda,Skoda Rapid,2015,500000,Diesel,Comprehensive,Manual,1498,103.6,White,5,21.14
Sedan,62373,1,Maruti,Maruti Swift Dzire,2014,488000,Petrol,Third Party,Manual,1197,88.5,Silver,5,22.41
Sedan,80000,1,Tata,Tata Zest,2015,459999,Diesel,Third Party insurance,Manual,1248,74.0,Others,5,22.95
Hatchback,25219,2,Maruti,Maruti Celerio,2018,513999,Petrol,Comprehensive,Automatic,998,65.71,Silver,5,26.0
Hatchback,64409,3,Maruti,Maruti Swift,2014,508000,Diesel,Third Party,Manual,1248,74.0,Silver,5,25.2
SUV,52000,1,Tata,Tata Nexon,2018,865000,Diesel,Comprehensive,Manual,1497,108.5,Blue,5,21.5
Sedan,30000,2,Maruti,Maruti Ciaz,2018,855000,Petrol,Comprehensive,Automatic,1462,103.25,Blue,5,20.28
Sedan,14000,1,Mercedes-Benz,Mercedes-Benz S-Class,2020,11800000,Diesel,Comprehensive,Automatic,2925,281.61,Blue,5,13.5
SUV,48574,1,Hyundai,Hyundai Venue,2019,925000,Diesel,Comprehensive,Manual,1396,88.76,Blue,5,23.7
Sedan,71423,1,Honda,Honda City,2012,509999,Petrol,Comprehensive,Automatic,1497,116.38575999999999,MET ECRU BEIGE,5,16.8
Sedan,30000,1,Mercedes-Benz,Mercedes-Benz E-Class,2020,5700000,Diesel,Comprehensive,Automatic,1950,191.7,Silver,5,16.1
Hatchback,75498,1,Maruti,Maruti Wagon R,2013,350000,Petrol,Comprehensive,Manual,998,67.1,White,5,18.9
Sedan,95963,1,Honda,Honda City,2017,630000,Petrol,Third Party insurance,Manual,1497,117.3,White,5,17.8
Hatchback,46613,1,Maruti,Maruti Wagon R,2015,409999,Petrol,Comprehensive,Manual,998,67.04,Blue,5,20.51
SUV,30000,1,Honda,Honda WR-V,2017,725000,Petrol,Third Party insurance,Manual,1199,88.7,Red,5,17.5
Sedan,18722,1,Honda,Honda Amaze,2015,466000,Petrol,Comprehensive,Manual,1198,86.7,Black,5,18.0
SUV,5593,1,Kia,Kia Seltos,2023,1864000,Petrol,Comprehensive,Automatic,1353,138.08,White,5,16.5
SUV,40000,1,Audi,Audi Q3,2017,2700000,Diesel,Third Party insurance,Automatic,1968,174.33,Gray,5,15.73
Hatchback,20875,1,Maruti,Maruti Celerio,2021,503000,Petrol,Third Party,Manual,998,65.71,Blue,5,25.24
Hatchback,46436,2,Renault,Renault KWID,2018,309000,Petrol,Third Party,Manual,799,53.3,Black,5,25.17
Sedan,127672,1,Honda,Honda City,2016,640000,Petrol,Third Party insurance,Automatic,1497,117.3,Silver,5,18.0
SUV,12814,1,Hyundai,Hyundai Venue,2021,841000,Petrol,Third Party,Manual,1197,81.86,Green,5,17.52
SUV,26000,1,Tata,Tata New Safari,2022,1889999,Diesel,Third Party,Manual,1956,167.67,Blue,7,16.14
Hatchback,45851,1,Hyundai,Hyundai i10,2011,288000,Petrol,Comprehensive,Manual,1197,78.9,Silver,5,20.36
SUV,36349,1,Hyundai,Hyundai Venue,2021,940000,Petrol,Comprehensive,Manual,998,118.35,Blue,5,18.0
Hatchback,35000,1,Volkswagen,Volkswagen Polo,2018,844999,Petrol,Comprehensive,Automatic,1197,103.5,Grey,5,17.21
SUV,17059,1,Tata,Tata New Safari,2021,2055999,Diesel,Comprehensive,Automatic,1956,167.67,Blue,7,14.08
SUV,37000,1,BMW,BMW X5,2019,7700000,Diesel,Comprehensive,Automatic,2993,261.5,White,5,13.38
Hatchback,48163,2,Maruti,Maruti Wagon R,2016,400000,Petrol,Comprehensive,Manual,998,67.04,Grey,5,20.51
Sedan,40000,3,Maruti,Maruti Swift Dzire,2013,425000,Petrol,Third Party insurance,Manual,1197,85.8,Others,5,19.1
Sedan,150000,2,Tata,Tata Indigo,2008,200000,Diesel,Third Party insurance,Manual,1405,69.0424,Others,5,17.0
Hatchback,20000,1,Volkswagen,Volkswagen Polo,2020,750000,Petrol,Third Party insurance,Manual,999,75.1,Gray,5,17.74
SUV,47000,1,Hyundai,Hyundai Creta,2019,1689999,Diesel,Comprehensive,Automatic,1582,126.2,White,5,17.6
